epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
46,19832.1,1.48383,0.95593,0.00399,0.79646,0.73048,0.7988,0.47233,1.35615,0.83219,0.0049,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,20169,1.48317,0.95288,0.00399,0.80463,0.72868,0.79984,0.47423,1.35662,0.82791,0.00489,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,20506.7,1.47727,0.94812,0.00396,0.80525,0.72933,0.79931,0.47472,1.35472,0.82795,0.00489,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,20843.5,1.47338,0.94717,0.00398,0.80066,0.73003,0.80232,0.47557,1.35464,0.82452,0.00488,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,21176.6,1.4749,0.94315,0.00396,0.80663,0.72754,0.80259,0.47628,1.35324,0.82242,0.00488,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,21512.7,1.46793,0.94245,0.00396,0.81732,0.72837,0.80305,0.47761,1.35145,0.82037,0.00487,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,21849,1.4622,0.93416,0.00393,0.82094,0.7271,0.80343,0.47823,1.34833,0.81967,0.00486,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,22186.4,1.45786,0.93168,0.0039,0.82466,0.72721,0.80326,0.47872,1.34628,0.81942,0.00486,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,22521.4,1.45662,0.9245,0.00389,0.83494,0.72629,0.80415,0.47996,1.34328,0.82045,0.00485,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,22855.5,1.45507,0.92361,0.00389,0.84114,0.7257,0.80371,0.48136,1.34284,0.82012,0.00485,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,23193.6,1.44284,0.91772,0.00385,0.84425,0.7284,0.80519,0.48484,1.34084,0.81726,0.00484,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,23555.3,1.44649,0.91435,0.00387,0.84797,0.72514,0.81681,0.48671,1.34281,0.81204,0.00486,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,23899.8,1.44197,0.91289,0.00383,0.84574,0.72515,0.81586,0.48701,1.33806,0.81635,0.00484,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,24397.7,1.4367,0.91115,0.00382,0.85522,0.72273,0.81644,0.48798,1.33989,0.80938,0.00484,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,24963.3,1.43375,0.90317,0.00384,0.86108,0.72017,0.81697,0.49325,1.33728,0.80744,0.00482,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
